"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,7.564418636E-1,-2.056424814E0,-1.317085910E0,2.556521583E0
9.980000032E-3,1.154268436E0,-2.505216157E0,-1.792835841E0,3.289787831E0
1.996100001E-2,1.042219266E0,-9.219755155E-1,-1.633509155E0,2.145835970E0
2.994199999E-2,8.166398259E-1,-1.724560243E-1,-1.517549513E0,1.731934817E0
3.992300003E-2,-7.214616269E-2,3.040657389E-1,-1.155228549E0,1.196751454E0
4.990400001E-2,-1.177846895E0,6.716240537E-1,-6.993568128E-1,1.525615328E0
5.988500000E-2,-1.789520031E0,9.020172143E-1,9.378466129E-2,2.006193550E0
6.986500003E-2,-1.703090583E0,9.639187628E-1,8.969500172E-1,2.152713694E0
7.984600001E-2,-1.137066074E0,9.611559534E-1,1.239545399E0,1.937321042E0
8.982699999E-2,-6.586128294E-1,7.896384072E-1,1.013486195E0,1.443763810E0
9.980800003E-2,-5.515919723E-1,2.210551572E-1,6.247878563E-1,8.622522553E-1
1.097890000E-1,-6.012830727E-1,-1.793224096E-2,4.496754420E-1,7.510465378E-1
1.197700000E-1,-5.609600888E-1,1.277376884E-1,3.953401905E-1,6.980594563E-1
1.297500000E-1,-3.904848088E-1,2.483499599E-1,4.580685353E-1,6.511396713E-1
1.397310000E-1,-2.026194710E-1,2.803997183E-1,5.039551449E-1,6.112687135E-1
1.497120000E-1,-3.651059926E-2,3.088703960E-1,5.859038723E-1,6.633379930E-1
1.596930000E-1,7.575798780E-3,3.647867346E-1,7.405381680E-1,8.255443856E-1
1.696740000E-1,-1.740524603E-1,3.179131150E-2,6.953614104E-1,7.175182489E-1
1.796550000E-1,-3.537974775E-1,-2.476722676E-1,6.095090818E-1,7.470043695E-1
1.896350000E-1,-5.075365645E-1,-4.344212258E-1,4.333932853E-1,7.963321577E-1
1.996160000E-1,-5.064100984E-1,-5.576606512E-1,2.155359703E-1,7.835128232E-1
2.095970000E-1,-4.378479865E-1,-3.665730590E-1,-3.032307565E-2,5.718445206E-1
2.195780000E-1,-5.405233392E-1,-6.508120590E-1,-5.619817436E-1,1.015650184E0
2.295590000E-1,-3.791483733E-1,-7.490137070E-1,-8.181301349E-1,1.172225209E0
2.395390000E-1,3.737598717E-2,7.973029375E-2,-6.465874457E-1,6.525559050E-1
2.495200000E-1,6.184249163E-2,2.666991073E-1,-6.202527559E-1,6.779870122E-1
2.595010000E-1,-1.035574052E-1,-7.080919683E-2,-6.419903648E-1,6.541327900E-1
2.694820000E-1,-8.681448787E-2,-1.439935327E-1,-6.556734341E-1,6.768888720E-1
2.794630000E-1,2.240264198E-1,-4.215374708E-2,-5.107004929E-1,5.592671710E-1
2.894440000E-1,5.799414665E-1,-1.424662399E-1,-2.890641224E-1,6.634657496E-1
2.994240000E-1,9.593357152E-1,-2.969064081E-1,-6.024678648E-2,1.006035837E0
3.094050000E-1,1.028235504E0,-5.655666715E-1,1.700487256E-1,1.185769995E0
3.193860000E-1,3.453812876E-1,-1.294520921E0,3.152677177E0,3.425557769E0
3.293670000E-1,-2.105480030E-1,-1.944612018E0,8.766255049E0,8.981819078E0
3.393472917E-1,-9.199678740E-1,-3.460959928E0,9.255474041E0,9.924131410E0
3.493282917E-1,-1.464396422E0,-4.433031464E0,9.835601449E0,1.088739090E1
3.593082917E-1,-4.402561623E-1,-3.919556467E0,8.058857145E0,8.972286602E0
3.692892917E-1,7.672432789E-1,-2.985084282E0,5.425509782E0,6.239835480E0
3.792702917E-1,8.548070875E-1,-1.853108940E0,2.290188895E0,3.067519042E0
3.892512917E-1,-1.867103666E-1,-5.575805444E-1,-8.571433425E-1,1.039447706E0
3.992322917E-1,-1.011890636E0,-3.353857648E-1,-3.107118012E0,3.284903135E0
4.092132917E-1,-1.966924408E-1,-1.223161501E0,-4.337780321E0,4.511224898E0
4.191932917E-1,1.249096095E0,-1.776119821E0,-5.522244948E0,5.933804171E0
4.291742917E-1,2.115957802E0,-1.827049654E0,-7.618515029E0,8.115242393E0
4.391552917E-1,2.414172232E0,-2.032020875E0,-9.857526169E0,1.035027336E1
4.491362917E-1,2.085855166E0,-2.722657151E0,-1.169175796E1,1.218445148E1
4.591172917E-1,1.644957126E0,-3.625729203E0,-1.284243971E1,1.344544733E1
4.690972917E-1,1.837588822E0,-3.791567933E0,-1.334089847E1,1.399043574E1
4.790782917E-1,2.038817825E0,-3.616708703E0,-1.302411270E1,1.366985266E1
4.890592917E-1,1.765457570E0,-3.560070818E0,-1.095710443E1,1.165543144E1
4.990402917E-1,1.449793732E0,-3.462198368E0,-7.486295450E0,8.374565002E0
5.090212917E-1,7.912270957E-1,-3.364724114E0,-2.927493886E0,4.529638963E0
5.190022917E-1,-3.311431713E-1,-3.169297303E0,2.099905879E0,3.816242379E0
5.289822917E-1,-2.036391815E0,-3.113410200E0,9.120734897E0,9.850280187E0
5.389632917E-1,-3.989109682E0,-2.644350654E0,1.760928755E1,1.824808468E1
5.489442917E-1,-5.771175537E0,-8.425019145E-1,2.248763594E1,2.323166044E1
5.589252917E-1,-6.347471849E0,1.202023231E0,2.193657329E1,2.286806739E1
5.689062917E-1,-5.284022951E0,1.451903700E0,1.836479927E1,1.916493608E1
5.788872917E-1,-2.815253073E0,2.911556715E-1,1.445049769E1,1.472505705E1
5.888672917E-1,-7.701404281E-2,-4.480727202E-1,1.066856422E1,1.067824718E1
5.988482917E-1,1.144663654E0,-2.473740596E-1,6.579056087E0,6.682471684E0
6.088292917E-1,7.900344830E-1,1.713818908E-1,2.565736594E0,2.690080018E0
6.188102917E-1,2.498629269E-1,5.671799183E-5,-8.043605268E-1,8.422750991E-1
6.287912917E-1,2.728024310E-1,-6.369529885E-1,-3.182386880E0,3.256948960E0
6.387722917E-1,5.293890712E-1,-1.514576789E0,-4.752694650E0,5.016203951E0
6.487522917E-1,5.811262585E-1,-2.605100634E0,-6.043168713E0,6.606371556E0
6.587332917E-1,2.655091989E-1,-3.833953815E0,-7.267963341E0,8.221495491E0
6.687142917E-1,-5.046913093E-1,-5.040181194E0,-8.349712855E0,9.766055731E0
6.786952917E-1,-1.339944431E0,-5.762494175E0,-9.488250527E0,1.118162279E1
6.886762917E-1,-1.942854637E0,-5.801006861E0,-1.095193549E1,1.254477005E1
6.986572917E-1,-2.249883160E0,-5.604870198E0,-1.287855562E1,1.422440646E1
7.086372917E-1,-1.929856423E0,-5.537103308E0,-1.475631292E1,1.587868476E1
7.186182917E-1,-6.227446930E-1,-5.275415264E0,-1.580151792E1,1.667050646E1
7.285992917E-1,1.303528702E0,-5.023656963E0,-1.516059642E1,1.602435647E1
7.385802917E-1,2.611586658E0,-5.394275710E0,-1.249670671E1,1.385951926E1
7.485612917E-1,2.575006185E0,-5.838284615E0,-7.769628131E0,1.005402135E1
7.585422917E-1,1.051716899E0,-5.793675038E0,-1.186415259E0,6.006692937E0
7.685222917E-1,-1.752250756E0,-4.953626615E0,7.418800455E0,9.091061519E0
7.785032917E-1,-6.324206947E0,-3.219579849E0,1.955781369E1,2.080551284E1
7.884842917E-1,-9.172113211E0,6.754294217E-1,2.551688658E1,2.712370488E1
7.984652917E-1,-8.187826842E0,4.450776301E0,2.308478635E1,2.489492476E1
8.084462917E-1,-4.283295673E0,4.570118265E0,1.916917967E1,2.016655777E1
8.184262917E-1,1.459118579E-1,6.682525492E-1,1.937155181E1,1.938362379E1
8.284072917E-1,1.901159750E0,-2.575310532E0,1.802725471E1,1.830924753E1
8.383882917E-1,1.209251413E0,-3.346085529E0,1.330136779E1,1.376898553E1
8.483692917E-1,-4.754697760E-1,-2.739302419E0,8.217722486E0,8.675298964E0
8.583502917E-1,-1.623043516E0,-2.270427060E0,2.710798997E0,3.890699229E0
8.683312917E-1,-1.964630838E0,-3.415434676E-1,-1.625515426E0,2.572688607E0
8.783112917E-1,-1.438446187E0,-2.675756049E-1,-4.239036051E0,4.484434276E0
8.882922917E-1,-7.634414193E-1,-2.055165324E0,-5.275479584E0,5.712900502E0
8.982732917E-1,-5.931210905E-1,-3.702648740E0,-6.313622317E0,7.343243635E0
9.082542917E-1,-7.253827697E-1,-4.302442088E0,-7.714563732E0,8.862938658E0
9.182352917E-1,-1.132658882E0,-4.127376451E0,-9.392128733E0,1.032134849E1
9.282162917E-1,-1.391771519E0,-3.998206780E0,-1.093653275E1,1.172733704E1
9.381962917E-1,-1.496088039E0,-4.104875196E0,-1.244932322E1,1.319370791E1
9.481772917E-1,-1.225806489E0,-4.135325741E0,-1.350762715E1,1.417954554E1
9.581582917E-1,-6.831304970E-1,-3.759977766E0,-1.381676476E1,1.433551843E1
9.681392917E-1,-1.018324766E-1,-3.440237396E0,-1.293804520E1,1.338800272E1
9.781202917E-1,4.767809410E-1,-3.451679812E0,-1.036690519E1,1.093682481E1
9.881012917E-1,4.393277706E-1,-3.491691139E0,-6.772914675E0,7.632646271E0
9.980812917E-1,-3.803936841E-1,-3.764062631E0,-2.215973110E0,4.384450213E0
1.008062292E0,-1.282510301E0,-4.216426622E0,3.569856133E0,5.671592276E0
1.018043292E0,-1.734117225E0,-4.484403931E0,9.516259274E0,1.066190563E1
1.028024292E0,-1.898842353E0,-3.286039887E0,1.455052718E1,1.503733692E1
1.038005292E0,-1.565588921E0,-1.299442230E0,1.730940374E1,1.742857070E1
1.047986292E0,-1.437568227E0,3.290266255E-1,1.858550710E1,1.864392488E1
1.057966292E0,-1.584541355E0,5.571881962E-1,1.809346039E1,1.817125584E1
1.067947292E0,-1.271586387E0,-1.652335435E-1,1.530319013E1,1.535681811E1
1.077928292E0,-6.617263987E-1,-7.930759853E-1,1.101899721E1,1.106730097E1
1.087909292E0,-5.220953275E-1,-1.279321668E0,6.623078604E0,6.765679394E0
1.097890292E0,-7.668455221E-1,-1.777149516E0,2.924496018E0,3.506991505E0
1.107871292E0,-1.240106147E0,-2.249930230E0,-1.018421245E-1,2.571073923E0
1.117851292E0,-1.847216116E0,-2.857266487E0,-3.462667315E0,4.854507605E0
1.127832292E0,-2.452680679E0,-2.759135590E0,-6.613907247E0,7.574446566E0
1.137813292E0,-2.749451724E0,-1.934571764E0,-8.836656110E0,9.454551491E0
1.147794292E0,-1.986437151E0,-1.915666546E0,-9.627626513E0,1.001533340E1
1.157775292E0,-1.263434198E0,-2.966864943E0,-9.368563285E0,9.908003411E0
1.167756292E0,-1.090681720E0,-3.800973179E0,-9.233614225E0,1.004473073E1
1.177736292E0,-6.435372457E-1,-4.330424523E0,-7.765842644E0,8.914876820E0
1.187717292E0,-1.711474174E-1,-4.811028228E0,-6.995152724E0,8.491610311E0
1.197698292E0,3.365873677E-1,-4.443404424E0,-7.377657691E0,8.618988742E0
1.207679292E0,1.681455446E0,-3.070971694E0,-6.803569872E0,7.651583011E0
1.217660292E0,2.909466043E0,-1.416924779E0,-5.697034011E0,6.552012287E0
1.227641292E0,3.293968127E0,9.329758823E-2,-3.555973674E0,4.848079953E0
1.237621292E0,1.811384963E0,1.970844966E0,2.144147083E0,3.429681046E0
1.247602292E0,-7.515604618E-1,2.875873497E0,9.373687785E0,9.833692805E0
1.257583292E0,-2.588587220E0,1.834011934E0,1.063708164E1,1.110008510E1
1.267564292E0,-3.199184761E0,1.100769337E0,1.016055227E1,1.070902884E1
1.277545292E0,-2.553013929E0,-2.731708056E-1,6.309731580E0,6.812137332E0
1.287526292E0,-1.031110799E0,-1.886846790E0,3.232654223E0,3.882452011E0
1.297506292E0,4.477287577E-1,-2.531795846E0,1.414819196E0,2.934648974E0
1.307487292E0,1.271130011E0,-2.532525578E0,9.155657977E-1,2.977871394E0
1.317468292E0,1.427653104E0,-2.252530487E0,1.362224661E0,2.994619009E0
1.327449292E0,1.057824608E0,-1.988705286E0,1.933480089E0,2.968549624E0
1.337431750E0,7.259693916E-1,-2.044819846E0,1.344785925E0,2.552796299E0
1.347412750E0,8.093378229E-1,-2.185721371E0,-2.860773647E-1,2.348243148E0
1.357392750E0,8.206757203E-1,-1.957454842E0,-1.656744236E0,2.692571180E0
1.367373750E0,5.353820652E-1,-1.453662835E0,-2.302410160E0,2.775042727E0
1.377354750E0,-1.632172774E-1,-7.454585999E-1,-2.151602283E0,2.282923736E0
1.387335750E0,-1.136022565E0,1.185967362E-1,-1.128261191E0,1.605486147E0
1.397316750E0,-1.981727219E0,7.912405443E-1,5.769213796E-2,2.134627076E0
1.407297750E0,-2.223903104E0,8.442987639E-1,2.478026605E-1,2.391650388E0
1.417277750E0,-1.806243799E0,5.493938577E-1,-2.865492350E-1,1.909570825E0
1.427258750E0,-1.368847364E0,3.990865016E-1,-3.957149971E-1,1.479730888E0
1.437239750E0,-1.343479657E0,4.806358641E-1,3.906507236E-1,1.479377035E0
1.447220750E0,-1.487705178E0,7.220966345E-1,1.463229464E0,2.208105684E0
1.457201750E0,-1.614835633E0,9.014839482E-1,1.894012552E0,2.647196816E0
1.467182750E0,-1.419908467E0,4.181536871E-1,1.244659374E0,1.933951788E0
1.477163750E0,-9.192396033E-1,-2.879034501E-1,4.774684274E-1,1.075112061E0
1.487143750E0,-4.976667203E-1,-7.801781970E-1,-1.158836281E-1,9.326195360E-1
1.497124750E0,-4.744732643E-1,-8.511961395E-1,-1.269237560E-1,9.827356645E-1
1.507105750E0,-7.696241190E-1,-6.954684144E-1,3.708649153E-1,1.101607183E0
1.517086750E0,-1.025837341E0,-4.763130176E-1,7.941466105E-1,1.381985955E0
1.527067750E0,-1.189637074E0,-4.061224562E-1,7.152039367E-1,1.446267088E0
1.537048750E0,-1.186060844E0,-5.589061081E-1,4.339511096E-1,1.381097364E0
1.547028750E0,-9.485736224E-1,-7.604672331E-1,1.395706987E-1,1.223757455E0
1.557009750E0,-6.799303159E-1,-7.873147237E-1,-8.780120552E-2,1.043972586E0
1.566990750E0,-6.198553645E-1,-6.466412401E-1,2.030100650E-1,9.184653792E-1
1.576971750E0,-5.921120804E-1,-5.689007539E-1,4.274946141E-1,9.257410159E-1
1.586952750E0,-4.378968839E-1,-6.627245915E-1,1.323727763E-1,8.052826317E-1
1.596933750E0,-2.945689105E-1,-7.517209679E-1,-3.273692322E-1,8.712209081E-1
1.606913750E0,-3.171093421E-1,-6.848247278E-1,-5.832737947E-1,9.538089757E-1
1.616894750E0,-4.270581926E-1,-5.530524606E-1,-6.554342830E-1,9.580395729E-1
1.626875750E0,-5.902539083E-1,-4.593543380E-1,-6.781051075E-1,1.009570513E0
1.636856750E0,-6.965934187E-1,-3.449512249E-1,-4.827519715E-1,9.150318052E-1
1.646837750E0,-6.128841678E-1,-3.159525436E-1,-2.609682512E-1,7.372634815E-1
1.656818750E0,-5.336573193E-1,-4.978564990E-1,1.055159301E-1,7.374176832E-1
1.666798750E0,-2.832921897E-1,-6.884728056E-1,2.301072317E-1,7.792294957E-1
1.676779750E0,1.613999628E-2,-8.653388000E-1,2.660582525E-1,9.054605082E-1
1.686760750E0,-3.886242248E-2,-1.016771160E0,-7.633306146E-2,1.020372783E0
1.696741750E0,-7.019728571E-1,-8.005960894E-1,-2.733736455E0,2.933774871E0
1.706722750E0,-9.392322569E-1,3.126447737E-2,-8.356109709E-1,1.257529481E0
1.716703750E0,-6.013103719E-1,-2.187244570E-1,2.702149211E0,2.776873226E0
1.726683750E0,-3.509866478E-1,-4.933330929E-1,1.851356530E0,1.947842439E0
1.736664750E0,-6.120876309E-1,-5.186281478E-1,1.008768661E0,1.288891243E0
1.746645750E0,-1.455155190E0,-3.224616641E-1,-2.105196440E-1,1.505249705E0
1.756626750E0,-1.049809098E0,-3.460645348E-1,-1.079579612E0,1.545105803E0
1.766607750E0,-5.712047030E-1,-3.956758207E-1,-1.379682108E0,1.544783767E0
1.776588750E0,-6.947258180E-1,-4.392095107E-1,-1.008598507E0,1.301084127E0
1.786569750E0,-1.158428073E0,-4.047471911E-1,2.546795708E-1,1.253250802E0
1.796549750E0,-1.391381802E0,-3.704041547E-1,1.283984238E0,1.929185859E0
1.806530750E0,-1.250686537E0,-4.426342249E-1,1.354785833E0,1.896203187E0
1.816511750E0,-9.682993506E-1,-5.594136465E-1,8.392865306E-1,1.398194958E0
1.826492750E0,-7.718761741E-1,-5.954997379E-1,1.841662431E-1,9.921340489E-1
1.836473750E0,-8.277054622E-1,-5.754408646E-1,-4.223280144E-1,1.092972768E0
1.846454750E0,-1.026766610E0,-5.352821875E-1,-5.590616441E-1,1.285817488E0
1.856434750E0,-1.186860451E0,-4.872519886E-1,-5.263090503E-1,1.386742026E0
1.866415750E0,-1.253368217E0,-4.989563602E-1,-5.260061646E-1,1.447954357E0
1.876396750E0,-1.218302976E0,-5.662847096E-1,-3.444647366E-1,1.386937803E0
1.886377750E0,-1.075954338E0,-6.682852936E-1,-1.352390814E-1,1.273802410E0
1.896358750E0,-9.069165963E-1,-8.354583585E-1,-2.089338791E-1,1.250656527E0
1.906339750E0,-7.154243036E-1,-9.777351487E-1,-5.761881387E-1,1.341562793E0
1.916319750E0,-5.029542477E-1,-9.474073952E-1,-7.792414731E-1,1.325805801E0
1.926300750E0,-3.572232150E-1,-7.922491890E-1,-7.107711625E-1,1.122703366E0
1.936281750E0,-3.581947298E-1,-6.564885360E-1,-4.931132376E-1,8.957908950E-1
1.946262750E0,-3.742166124E-1,-4.812129843E-1,-1.340696383E-1,6.241623804E-1
1.956243750E0,-4.598718897E-1,-5.971936762E-2,4.722720069E-1,6.618832271E-1
1.966224750E0,-7.476403423E-1,-2.701296687E-2,4.462741166E-1,8.711236244E-1
1.976205750E0,-1.072735081E0,5.036756480E-1,1.346660542E-1,1.192721534E0
1.986185750E0,-1.433062802E0,4.917759794E-1,8.053253174E-2,1.517233699E0
1.996166750E0,-1.479192071E0,1.563223869E-1,1.031068772E-1,1.490998625E0
2.006147750E0,-1.295681593E0,-3.017338693E-2,1.087804306E-1,1.300590022E0
2.016128750E0,-1.110065313E0,-1.960559714E-1,2.981512803E-1,1.166009061E0
2.026109750E0,-1.034476968E0,-2.968806803E-1,4.730906171E-1,1.175625564E0
2.036090750E0,-8.959241963E-1,-3.899923271E-1,5.736428457E-1,1.133066766E0
2.046070750E0,-7.899619775E-1,-5.594756269E-1,6.840160578E-1,1.185297798E0
2.056051750E0,-7.066668557E-1,-7.013735175E-1,7.509070355E-1,1.247062241E0
2.066032750E0,-6.362231098E-1,-7.768540549E-1,7.424969852E-1,1.248832992E0
2.076013750E0,-5.959656879E-1,-8.878336233E-1,7.516198111E-1,1.307040927E0
2.085994750E0,-5.730576856E-1,-1.000518824E0,6.961157012E-1,1.346851922E0
2.095975750E0,-5.114694748E-1,-1.071544953E0,6.407969481E-1,1.349233241E0
2.105955750E0,-4.092249888E-1,-1.094616312E0,5.148069924E-1,1.276979327E0
2.115936750E0,-3.320248584E-1,-1.077826617E0,3.413341373E-1,1.178329205E0
2.125917750E0,-3.229946378E-1,-1.109154244E0,1.923693019E-1,1.171133904E0
2.135898750E0,-2.777668633E-1,-1.258057684E0,-3.048562825E-2,1.288717556E0
2.145879750E0,-2.028909279E-1,-1.145979424E0,-9.633346260E-2,1.167781531E0
2.155860750E0,-2.612311567E-1,-8.883651352E-1,4.808925569E-2,9.272253810E-1
2.165840750E0,-4.218261771E-1,-5.527788109E-1,1.503599811E-1,7.114139873E-1
2.175821750E0,-5.901373295E-1,-2.754278308E-1,2.105079496E-1,6.844239581E-1
2.185802750E0,-6.159770525E-1,-9.211762011E-2,2.103278553E-1,6.573820745E-1
2.195783750E0,-5.555498064E-1,-4.710750818E-2,1.861841172E-1,5.878088381E-1
2.205764750E0,-4.687712058E-1,-1.242743826E-1,2.126568013E-1,5.295408206E-1
2.215745750E0,-3.636295706E-1,-3.390233177E-1,1.361570942E-1,5.154629268E-1
2.225726750E0,-3.128785893E-1,-6.375534976E-1,4.189413071E-2,7.114229347E-1
2.235706750E0,-3.246372668E-1,-8.475778824E-1,2.465069175E-2,9.079566501E-1
2.245687750E0,-3.833498170E-1,-8.981019187E-1,7.428302765E-2,9.793171635E-1
2.255668750E0,-4.659170336E-1,-7.586358851E-1,3.069484162E-1,9.417135545E-1
2.265649750E0,-5.037664991E-1,-6.335165799E-1,4.569002616E-1,9.294524149E-1
2.275630750E0,-5.148516505E-1,-5.637809318E-1,5.129797375E-1,9.198202935E-1
2.285611750E0,-5.296431327E-1,-5.257956648E-1,6.305321610E-1,9.770126587E-1
2.295591750E0,-5.296697375E-1,-4.725848329E-1,7.330513930E-1,1.020416974E0
2.305572750E0,-5.431083202E-1,-4.705347991E-1,7.554438901E-1,1.042624149E0
2.315553750E0,-6.594532936E-1,-4.545087504E-1,7.354171765E-1,1.087334021E0
